uid,status,wall_s,rc
a1__llava16_7b__vqav2_val__clean__seed0,ok,1254.3,0
a1__llava16_13b__vqav2_val__clean__seed0,ok,2012.4,0
a1__qwen25vl_7b__vqav2_val__clean__seed0,ok,751.5,0
a1__qwen3vl_8b__vqav2_val__clean__seed0,ok,725.3,0
a1__internvl3_8b__vqav2_val__clean__seed0,ok,1398.4,0
a1__internvl35_8b__vqav2_val__clean__seed0,ok,1628.1,0
a1__gemma3_12b__vqav2_val__clean__seed0,ok,1894.8,0
a1__pixtral_12b__vqav2_val__clean__seed0,ok,1230.3,0
a1__idefics3_8b__vqav2_val__clean__seed0,ok,1665.5,0
a1__llava16_7b__vizwiz_val__clean__seed0,ok,1574.9,0
a1__llava16_13b__vizwiz_val__clean__seed0,ok,2491.2,0
a1__qwen25vl_7b__vizwiz_val__clean__seed0,ok,2858.6,0
a1__qwen3vl_8b__vizwiz_val__clean__seed0,ok,2196.8,0
a1__internvl3_8b__vizwiz_val__clean__seed0,ok,2368.1,0
a1__internvl35_8b__vizwiz_val__clean__seed0,ok,2922.4,0
a1__gemma3_12b__vizwiz_val__clean__seed0,ok,2346.8,0
a1__pixtral_12b__vizwiz_val__clean__seed0,ok,3126.0,0
a1__idefics3_8b__vizwiz_val__clean__seed0,ok,1912.4,0
a1__llava16_7b__vizwiz_val__blind__seed0,ok,538.3,0
a1__llava16_13b__vizwiz_val__blind__seed0,ok,773.7,0
a1__qwen25vl_7b__vizwiz_val__blind__seed0,ok,578.8,0
a1__qwen3vl_8b__vizwiz_val__blind__seed0,ok,801.3,0
a1__internvl3_8b__vizwiz_val__blind__seed0,ok,561.4,0
a1__internvl35_8b__vizwiz_val__blind__seed0,ok,851.2,0
a1__gemma3_12b__vizwiz_val__blind__seed0,ok,1957.5,0
a1__pixtral_12b__vizwiz_val__blind__seed0,ok,1003.2,0
a1__idefics3_8b__vizwiz_val__blind__seed0,ok,653.6,0
a1__llava16_7b__vizwiz_val__blur_s1__seed0,ok,690.1,0
a1__llava16_13b__vizwiz_val__blur_s1__seed0,ok,1012.0,0
a1__qwen25vl_7b__vizwiz_val__blur_s1__seed0,ok,1150.0,0
a1__qwen3vl_8b__vizwiz_val__blur_s1__seed0,ok,918.0,0
a1__internvl3_8b__vizwiz_val__blur_s1__seed0,ok,991.3,0
a1__internvl35_8b__vizwiz_val__blur_s1__seed0,ok,1200.3,0
a1__gemma3_12b__vizwiz_val__blur_s1__seed0,ok,1000.1,0
a1__pixtral_12b__vizwiz_val__blur_s1__seed0,ok,1321.1,0
a1__idefics3_8b__vizwiz_val__blur_s1__seed0,ok,808.7,0
a1__llava16_7b__vizwiz_val__blur_s3__seed0,ok,672.1,0
a1__llava16_13b__vizwiz_val__blur_s3__seed0,ok,994.7,0
a1__qwen25vl_7b__vizwiz_val__blur_s3__seed0,ok,1129.0,0
a1__qwen3vl_8b__vizwiz_val__blur_s3__seed0,ok,895.8,0
a1__internvl3_8b__vizwiz_val__blur_s3__seed0,ok,928.4,0
a1__internvl35_8b__vizwiz_val__blur_s3__seed0,ok,1107.1,0
a1__gemma3_12b__vizwiz_val__blur_s3__seed0,ok,961.7,0
a1__pixtral_12b__vizwiz_val__blur_s3__seed0,ok,1275.7,0
a1__idefics3_8b__vizwiz_val__blur_s3__seed0,ok,809.8,0
a1__llava16_7b__vizwiz_val__blur_s5__seed0,ok,666.3,0
a1__llava16_13b__vizwiz_val__blur_s5__seed0,ok,984.5,0
a1__qwen25vl_7b__vizwiz_val__blur_s5__seed0,ok,1099.3,0
a1__qwen3vl_8b__vizwiz_val__blur_s5__seed0,ok,905.9,0
a1__internvl3_8b__vizwiz_val__blur_s5__seed0,ok,909.4,0
a1__internvl35_8b__vizwiz_val__blur_s5__seed0,ok,1068.8,0
a1__gemma3_12b__vizwiz_val__blur_s5__seed0,ok,914.0,0
a1__pixtral_12b__vizwiz_val__blur_s5__seed0,ok,1193.3,0
a1__idefics3_8b__vizwiz_val__blur_s5__seed0,ok,806.2,0
a1__llava16_7b__vizwiz_val__underexp_s2__seed0,ok,586.8,0
a1__llava16_13b__vizwiz_val__underexp_s2__seed0,ok,927.9,0
a1__qwen25vl_7b__vizwiz_val__underexp_s2__seed0,ok,1054.8,0
a1__qwen3vl_8b__vizwiz_val__underexp_s2__seed0,ok,821.2,0
a1__internvl3_8b__vizwiz_val__underexp_s2__seed0,ok,919.3,0
a1__internvl35_8b__vizwiz_val__underexp_s2__seed0,ok,1099.5,0
a1__gemma3_12b__vizwiz_val__underexp_s2__seed0,ok,912.1,0
a1__pixtral_12b__vizwiz_val__underexp_s2__seed0,ok,1229.0,0
a1__idefics3_8b__vizwiz_val__underexp_s2__seed0,ok,719.5,0
a1__llava16_7b__vizwiz_val__overexp_s2__seed0,ok,596.6,0
a1__llava16_13b__vizwiz_val__overexp_s2__seed0,ok,926.4,0
a1__qwen25vl_7b__vizwiz_val__overexp_s2__seed0,ok,1046.9,0
a1__qwen3vl_8b__vizwiz_val__overexp_s2__seed0,ok,819.3,0
a1__internvl3_8b__vizwiz_val__overexp_s2__seed0,ok,891.2,0
a1__internvl35_8b__vizwiz_val__overexp_s2__seed0,ok,1077.5,0
a1__gemma3_12b__vizwiz_val__overexp_s2__seed0,ok,885.4,0
a1__pixtral_12b__vizwiz_val__overexp_s2__seed0,ok,1216.0,0
a1__idefics3_8b__vizwiz_val__overexp_s2__seed0,ok,714.6,0
a1__llava16_7b__vizwiz_val__crop_s2__seed0,ok,606.1,0
a1__llava16_13b__vizwiz_val__crop_s2__seed0,ok,943.8,0
a1__qwen25vl_7b__vizwiz_val__crop_s2__seed0,ok,1060.2,0
a1__qwen3vl_8b__vizwiz_val__crop_s2__seed0,ok,855.4,0
a1__internvl3_8b__vizwiz_val__crop_s2__seed0,ok,909.7,0
a1__internvl35_8b__vizwiz_val__crop_s2__seed0,ok,1123.3,0
a1__gemma3_12b__vizwiz_val__crop_s2__seed0,ok,926.3,0
a1__pixtral_12b__vizwiz_val__crop_s2__seed0,ok,1245.9,0
a1__idefics3_8b__vizwiz_val__crop_s2__seed0,ok,727.6,0
a1__llava16_7b__vizwiz_val__crop_s4__seed0,ok,604.6,0
a1__llava16_13b__vizwiz_val__crop_s4__seed0,ok,931.1,0
a1__qwen25vl_7b__vizwiz_val__crop_s4__seed0,ok,1049.3,0
a1__qwen3vl_8b__vizwiz_val__crop_s4__seed0,ok,834.8,0
a1__internvl3_8b__vizwiz_val__crop_s4__seed0,ok,876.7,0
a1__internvl35_8b__vizwiz_val__crop_s4__seed0,ok,1081.0,0
a1__gemma3_12b__vizwiz_val__crop_s4__seed0,ok,896.4,0
a1__pixtral_12b__vizwiz_val__crop_s4__seed0,ok,1215.0,0
a1__idefics3_8b__vizwiz_val__crop_s4__seed0,ok,708.4,0
