uid,status,wall_s,rc
a1__llava16_7b__vqav2_val__clean__seed0,ok,480.0,0
a1__llava16_13b__vqav2_val__clean__seed0,ok,768.6,0
a1__qwen25vl_7b__vqav2_val__clean__seed0,ok,307.2,0
a1__qwen3vl_8b__vqav2_val__clean__seed0,ok,289.0,0
a1__internvl3_8b__vqav2_val__clean__seed0,ok,523.0,0
a1__internvl35_8b__vqav2_val__clean__seed0,ok,606.4,0
a1__gemma3_12b__vqav2_val__clean__seed0,ok,833.4,0
a1__pixtral_12b__vqav2_val__clean__seed0,ok,490.1,0
a1__idefics3_8b__vqav2_val__clean__seed0,ok,640.5,0
a1__llava16_7b__vqav2_val__blind__seed0,ok,147.8,0
a1__llava16_13b__vqav2_val__blind__seed0,ok,190.3,0
a1__qwen25vl_7b__vqav2_val__blind__seed0,ok,370.8,0
a1__qwen3vl_8b__vqav2_val__blind__seed0,ok,314.4,0
a1__internvl3_8b__vqav2_val__blind__seed0,ok,423.3,0
a1__internvl35_8b__vqav2_val__blind__seed0,ok,628.1,0
a1__gemma3_12b__vqav2_val__blind__seed0,ok,860.2,0
a1__pixtral_12b__vqav2_val__blind__seed0,ok,228.9,0
a1__idefics3_8b__vqav2_val__blind__seed0,ok,194.4,0
a1__llava16_7b__vizwiz_val__clean__seed0,ok,576.1,0
a1__llava16_13b__vizwiz_val__clean__seed0,ok,1025.7,0
a1__qwen25vl_7b__vizwiz_val__clean__seed0,ok,1150.2,0
a1__qwen3vl_8b__vizwiz_val__clean__seed0,ok,815.0,0
a1__internvl3_8b__vizwiz_val__clean__seed0,ok,959.3,0
a1__internvl35_8b__vizwiz_val__clean__seed0,ok,1100.6,0
a1__gemma3_12b__vizwiz_val__clean__seed0,ok,1220.3,0
a1__pixtral_12b__vizwiz_val__clean__seed0,ok,1162.8,0
a1__idefics3_8b__vizwiz_val__clean__seed0,ok,676.7,0
a1__llava16_7b__vizwiz_val__blind__seed0,ok,290.4,0
a1__llava16_13b__vizwiz_val__blind__seed0,ok,625.2,0
a1__qwen25vl_7b__vizwiz_val__blind__seed0,ok,708.3,0
a1__qwen3vl_8b__vizwiz_val__blind__seed0,ok,517.2,0
a1__internvl3_8b__vizwiz_val__blind__seed0,ok,668.7,0
a1__internvl35_8b__vizwiz_val__blind__seed0,ok,1103.1,0
a1__gemma3_12b__vizwiz_val__blind__seed0,ok,1662.8,0
a1__pixtral_12b__vizwiz_val__blind__seed0,ok,753.2,0
a1__idefics3_8b__vizwiz_val__blind__seed0,ok,366.6,0
